event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,4889,-0.15,-0.70,9.50,0.00,0.00,-0.06
imu_data,4939,-0.11,-0.70,9.51,0.12,-0.06,-0.06
imu_data,4989,-0.12,-0.70,9.49,-0.19,-0.12,-0.19
imu_data,5039,-0.10,-0.70,9.50,0.12,0.06,0.06
imu_data,5090,-0.13,-0.69,9.52,-0.06,-0.06,0.06
imu_data,5141,-0.12,-0.70,9.53,0.00,0.12,-0.06
imu_data,5191,-0.12,-0.68,9.52,0.19,0.12,0.00
imu_data,5242,-0.12,-0.70,9.51,0.12,-0.06,0.06
imu_data,5293,-0.13,-0.72,9.50,0.00,-0.06,0.06
imu_data,5343,-0.11,-0.70,9.53,0.12,-0.06,0.06
imu_data,5393,-0.13,-0.70,9.52,-0.19,-0.12,-0.06
imu_data,5439,-0.14,-0.72,9.52,-0.06,-0.06,-0.06
imu_data,5489,-0.14,-0.70,9.51,-0.19,-0.12,-0.12
imu_data,5539,-0.11,-0.71,9.53,0.19,-0.12,0.06
imu_data,5589,-0.11,-0.71,9.53,0.00,0.31,-0.06
imu_data,5640,-0.11,-0.69,9.50,0.06,-0.31,0.00
imu_data,5690,-0.12,-0.70,9.50,0.12,0.00,0.06
imu_data,5741,-0.11,-0.71,9.50,0.12,-0.12,0.06
imu_data,5792,-0.13,-0.69,9.49,0.19,0.06,0.06
imu_data,5839,-0.11,-0.70,9.51,0.00,0.12,0.00
imu_data,5889,-0.13,-0.73,9.51,-0.06,0.00,-0.06
imu_data,5939,-0.11,-0.68,9.50,-0.06,-0.12,0.00
imu_data,5989,-0.11,-0.71,9.49,0.25,0.19,0.06
imu_data,6039,-0.11,-0.68,9.50,-0.38,-0.38,0.06
imu_data,6089,-0.13,-0.68,9.50,0.06,-0.06,0.00
imu_data,6139,-0.13,-0.70,9.49,0.00,-0.12,-0.06
imu_data,6189,-0.11,-0.72,9.50,0.19,0.19,0.00
imu_data,6240,-0.12,-0.70,9.51,0.19,0.38,-0.12
imu_data,6291,-0.12,-0.69,9.50,0.19,-0.06,0.06
imu_data,6342,-0.13,-0.71,9.51,0.19,0.06,0.06
imu_data,6392,-0.13,-0.71,9.50,0.25,0.06,-0.12
imu_data,6443,-0.13,-0.70,9.50,-0.31,0.06,-0.06
imu_data,6493,-0.11,-0.71,9.50,0.00,0.25,-0.06
imu_data,6542,-0.13,-0.72,9.51,0.06,0.06,0.00
imu_data,6589,-0.12,-0.71,9.51,0.06,-0.06,0.00
imu_data,6639,-0.11,-0.69,9.50,0.00,0.00,0.12
imu_data,6689,-0.13,-0.69,9.49,0.00,-0.12,0.00
imu_data,6739,-0.14,-0.68,9.50,-0.06,0.00,0.12
imu_data,6790,-0.08,-0.71,9.49,0.00,-0.06,0.06
imu_data,6841,-0.11,-0.69,9.48,0.00,-0.19,0.00
imu_data,6891,-0.13,-0.68,9.47,-0.12,-0.12,-0.12
imu_data,6942,-0.11,-0.70,9.50,-0.19,0.19,0.00
imu_data,6993,-0.11,-0.69,9.48,0.00,0.00,-0.06
imu_data,7043,-0.12,-0.71,9.50,0.25,0.12,0.00
imu_data,7092,-0.13,-0.68,9.50,-0.12,0.00,0.00
imu_data,7139,-0.13,-0.71,9.50,0.00,0.00,0.06
imu_data,7189,-0.10,-0.70,9.49,0.19,0.12,0.12
imu_data,7239,-0.12,-0.71,9.48,0.00,0.25,0.12
imu_data,7289,-0.14,-0.70,9.50,-0.06,0.00,0.06
imu_data,7340,-0.14,-0.67,9.49,0.00,-0.31,0.06
imu_data,7391,-0.11,-0.69,9.50,-0.06,0.00,0.00
imu_data,7441,-0.11,-0.71,9.50,-0.12,0.12,0.00
imu_data,7492,-0.11,-0.69,9.51,0.12,0.12,-0.06
imu_data,7543,-0.11,-0.70,9.50,-0.06,0.19,-0.06
imu_data,7593,-0.11,-0.69,9.51,-0.06,-0.06,-0.12
imu_data,7643,-0.13,-0.71,9.52,0.19,-0.06,0.06
imu_data,7689,-0.13,-0.70,9.49,0.00,0.06,0.00
imu_data,7739,-0.13,-0.70,9.52,-0.06,0.12,0.00
imu_data,7789,-0.12,-0.68,9.50,0.19,0.06,0.06
imu_data,7839,-0.14,-0.68,9.50,0.12,0.19,-0.12
imu_data,7890,-0.12,-0.71,9.50,-0.25,0.00,-0.06
imu_data,7941,-0.15,-0.67,9.54,0.00,0.19,0.00
imu_data,7992,-0.11,-0.72,9.52,-0.06,0.19,-0.06
imu_data,8042,-0.13,-0.71,9.50,0.06,0.00,0.00
imu_data,8093,-0.11,-0.70,9.51,-0.06,0.25,0.00
imu_data,8143,-0.11,-0.72,9.52,0.00,-0.06,0.00
imu_data,8193,-0.14,-0.68,9.50,0.00,0.25,0.00
imu_data,8239,-0.11,-0.70,9.52,0.06,0.12,-0.12
imu_data,8289,-0.10,-0.71,9.52,0.19,0.00,-0.12
imu_data,8339,-0.10,-0.69,9.49,-0.25,0.00,-0.06
imu_data,8389,-0.15,-0.69,9.51,0.12,0.19,0.12
imu_data,8440,-0.10,-0.74,9.50,0.19,0.31,0.06
imu_data,8491,-0.12,-0.69,9.50,-0.12,0.06,0.00
imu_data,8541,-0.14,-0.71,9.50,0.00,-0.19,0.00
imu_data,8589,-0.14,-0.67,9.53,0.19,-0.25,-0.06
imu_data,8639,-0.08,-0.73,9.53,0.00,-0.12,-0.12
imu_data,8689,-0.16,-0.73,9.50,0.06,0.00,0.12
imu_data,8739,-0.13,-0.67,9.51,0.06,0.12,-0.06
imu_data,8789,-0.10,-0.75,9.51,0.12,0.25,-0.12
imu_data,8839,-0.11,-0.74,9.50,0.25,0.06,-0.06
imu_data,8889,-0.16,-0.68,9.48,0.19,0.06,0.06
imu_data,8939,-0.13,-0.64,9.54,0.19,-0.12,8.38
imu_data,8990,-0.12,-0.70,9.52,0.00,0.06,14.75
imu_data,9041,-0.03,-0.73,9.60,-0.19,0.06,7.38
imu_data,9092,-0.19,-0.71,9.49,0.38,0.12,-0.06
